 serve xizmat_qilish
 Masters_degree Magistrlik_darajasi
 math matematika
 mistake Xato
 myth afsona
 next_of_kin yaqin_qarindosh
 organ organ
 organize tashkil_qilish
 PE Jismoniy_tarbiya
 photocopy fotokopi
 practical_skills amaliy_konikmalar
 private_school xususiy_maktab
 probably ehtimol
 promotion ragbatlantirish
 science fan
 search_engine qidiruv_tizimi
 signal signal
 solve hal_qilish
 spelling imlo
 state_school Davlat_maktabi
 strict qattiq
 study organish
 success muvaffaqiyat
 system tizimi
 take_care_of gamhorlik_qilmoq
 tell_jokes hazil_aytib
 terrible qorqinchli
 train poyezd
 understand tushunish
 adopt qabul_qilish
 bad_manners yomon_xulq_atvor
 best_selling eng_kop_sotilgan
 characteristics xususiyatlari
 confident oziga_ishongan
 couple juftlik
 creative ijodiy
 dishonest insofsiz
 disorganized tartibsiz
 extrovert ekstrovert
 fair adolatli
 father_in_law qaynota
 flatmate kvartiradosh
 friendly dostona
 get_divorced Ajrashmoq
 hard_working tirishqoq
 honest halol
 impatient sabrsiz
 impolite qopol
 necessary zarur
 patient sabr
 possible mumkin
 related bogliq
 romantic romantik
 separate alohida
 shy uyatchan
 clurp toplanish
 smart aqlli
 sociable xushmuomala
 stepmother/father ogay_ona/ota
 stupid ahmoq
 twins egizaklar
 unfair adolatsiz
 unfriendly dostona_emas
 unkind shafqatsiz
 unlucky omadsiz
 unnecessary keraksiz
 unsociable murosasiz
 untidy tartibsiz
 usual odatiy
 workplace ish_joyi
 accommodation turar_joy
 advantages afzalliklari
 amazed hayratda_qoldi
 annoyed bezovta
 annoying bezovta_qiluvchi
 apply murojaat_qiling
 basic Asosiy
 book_in_advance oldindan_bron_qiling
 book_your_flight parvozingizni_bron_qiling
 bored zerikkan
 bus_pass avtobus_chiptasi
 code kod
 confusing chalkash
 convenient qulay
 currency valyuta
 cycle_lane velosiped_yolagi
 development rivojlanish
 diesel dizel
 efficient samarali
 embarrassing sharmandali
 exciting hayajonli
 fare yolhaqi
 fascinating maftunkor
 fascinated maftunbolgan
 float suzmoq
 foreign xorijiy
 frightening qorqituvchi
 fuel yoqilgi
 greener yashilroq
 guidebook qollanma
 high_speed yuqori_tezlik
 hire yollash
 hostel yotoqxona
 in_advance oldindan
 insurance sugurta
 last_minute oxirgi_daqiqa
 line chiziq
 receive qabulqilish
 repetitivestraininjury takroriy_kuchlanish_shikastlanishi
 retire nafaqaga_chiqish
 review korib_chiqish
 seafront dengiz_qirgogi
 share bahamkoring
 shop_online onlayn_xarid_qilish
 social_media ijtimoiy_tarmoqlar
 take_up egallash_kirishish
 talk gapirish
 teenager osmir
 travel sayohat
 tweet tvit
 update yangilash
 use foydalanish
 vase vaza
 vegetarian_cookbook vegetarian_taomlari_kitobi
 advice maslahat
 afford imkoniyatiga_ega
 antique antiqa
 balance muvozanat
 bank_account bank_hisob_raqami
 benefit foyda
 bill hisob
 borrowed qarz_oldi
 brand_new yangi
 bright yorqin
 buyer xaridor
 change ozgartirish
 coin tanga
 collection yigish
 comfort qulaylik
 comfortable qulay
 compute hisoblash
 condition holat
 credit_card kredit_kartasi
 crime jinoyat
 dark qorongi
 debt qarz
 decide qaror
 developing_world rivojlanayotgan_dunyo
 digit raqam
 digital raqamli
 disappointment umidsizlik
 economy iqtisodiyot
 enjoy rohatlaning
 enjoyable zavqli
 equip jihozlash
 essential muhim
 fashionable moda
 fee haq
 heavy ogir
 large katta
 leather teri
 lent qarz_bergan
 metal metall
 minimalist minimalist
 mosquito chivin
 note Eslatma
 owe qarz
 pale rangpar
 payback tolov
 personal shaxsiy
 plastic plastik
 possess egalik_qilish
 possession egalik_qilish
 purse hamyon
 refund qaytarib_berish
 rent ijara
 repellent qaytaruvchi
 revolution inqilob
 save_up saqla
 scooter skuter
 shiny yaltiroq
 special maxsus
 statistic statistika
 stress urgu
 stressful stressli
 suitable mos
 thin yupqa
 timecapsule vaqt_kapsulasi
 transfer transfer
 useful foydali
 valuable qimmatli
 wallet hamyon
 achievement muvaffaqiyat
 angrily jahl_bilan
 angry badjahl
 anxious tashvishli
 avoid qochish
 backwards orqaga
 balloon shar
 behaviour xulq_atvor
 bother bezovta_qilmoq
 calmly xotirjamlik_bilan
 capsule kapsula
 climb kotarilish
 confused chalkash
 cook oshpaz
 dive shongin
 drop tushirish
 easily osongina
 eater yeyuvchi
 embarrassed xijolat_tortdi
 excited ajoyib
 exhausted charchagan
 eye_contact kozbilan_aloqa_qilish
 fall tushish
 fluently ravon
 forwards oldinga
 frightened qorqib_ketgan
 guilty aybdor
 headphones naushniklar
 in_a_good_mood yaxshi_kayfiyatda
 intercom interkom
 into ichiga
 jump sakramoq
 lift lift
 land yer
 loudly baland_ovozda
 nervous asabiy
 nicely yaxshigina
 about haqida
 arrive yetib_kelish
 attack hujum
 become bolish
 blog blog
 boxer bokschi
 buy sotib_olish
 challenge qiyinchilik
 chance_career tasodifiy_martaba
 choose tanlang
 concert_hall konsert_zali
 conducter dirijyor
 deal_with ish_kormoq_shugullanmoq
 do_online_banking onlayn_banking_bilan_shugullaning
 download yuklab_oling
 engaged unashtirilgan
 get_merried turmush_qurmoq
 go_online onlayn_oting
 go_to ga_boring
 have_a_baby farzandli_boling
 in_late_twenties yigirmanchi_yillar_oxirida
 in_sixties oltmishinchi_yillarda
 learn_to_swim suzishni_organing
 leave_home uydan_ket
 live_with bilan_yashash
 log_on tizimga_kirish
 mid orta
 middle_aged orta_yoshli
 moment moment
 move_house_or_flat uy_yoki_kvartirani_kochirish
 obtains oladi
 pass_your_exams imtihonlaringizni_topshiring
 perform bajarish
 pianist pianinochi
 present hozir
 read_to_the_news yangiliklarni_oqing
 nightmare dahshatli_tush
 out_of tashqarida
 over ustida
 parachute parashyut
 pleased mamnun
 politely muloyimlik_bilan
 pull_out tortib_olmoq
 quickly tez
 reader oquvchi
 rescue_team qutqaruv_guruhi
 round_and_round dumaloq_va_dumaloq
 runner yuguruvchi
 skydiving parashyutdan_sakrash
 smartly aqlli
 snowboarding snoubordda_uchish
 stranger begona
 straw somon
 stressed takidladi
 takeof olish
 through orqali
 towards tortmoq
 traffic_lights svetofor
 traveller sayohatchi
 typist yozuvteruvchi
 videocamera video_kamera
 walker piyoda
 nasty jirkanch
 outdoors ochiq_havoda
 period davr
 photograph fotosurat
 pleasure zavq
 pleasant yoqimli
 post post
 promise vada
 psychologist psixolog
 record rekord
 relationship munosabat
 relative qarindosh
 reviewer sharhlovchi
 running yugurish
 shopping xarid_qilish
 Snowfall qor_yogishi
 spend_time vaqt_otkazmoq
 stay_in ichida_qoling
 swimming suzish
 text matn
 time vaqt
 to_do_list royxatini_qilish
 trip sayohat
 uncomfortable noqulay
 walk yurish
 work ish
 architect arxitektor
 block blok
 cafe kafe
 candle sham
 chest_of_drawers sandiq
 cloth mato
 collect yigish
 crowded gavjum
 destroy yoq_qilish
 dull zerikarli
 dustpan_and_brush changyutgich_va_chotka
 duvet yorgan
 fast_lane tez_yolak
 fine yaxshi
 flower_stall gulzor
 house_swap uy_almashish
 household_possessioins uy_rozgor_buyumlari
 industry sanoat
 house_sit uyda_otirish
 lovely yoqimli
 location Manzil
 market_place bozor_joyi
 maze labirint
 microwave_oven Mikrotolqinli_pech
 mirror oyna
 narrow tor
 navigation navigatsiya
 on_business biznesda
 on_holiday bayramda
 on_publictransport jamoat_transportida
 on_theinternet Internetda
 on_theway yolda
 on_time vaqtida
 on_TV televizorda
 pan Tova
 parking_space toxtash_joyi
 pavement_artist yulka_rassomi
 pedestrian_area piyodalar_hududi
 play_area oyin_maydoni
 project loyiha
 publisher nashriyotchi
 rag latta
 safe xavfsiz
 satellite_dish suniy_yoldosh_antennasi
 sheet varaq
 shop_display dokon_korgazmasi
 shopper xaridor
 solution yechim
 souvenir_seller suvenir_sotuvchisi
 stall toxtash_joyi
 statue haykal
 strange galati
 street_cleaner kocha_tozalovchi
 street_performer kocha_ijrochisi
 student_accommodation talabalar_turar_joyi
 tap teging
 towel sochiq
 tower_block minora_bloki
 truck yukmashinasi
 wardrobe shkaf
 wash_basin yuvinish_havzasi
 aerobics aerobika
 busy band
 camping lager
 cards karta
 chat suhbat
 chess shaxmat
 cloudy bulutli
 coffee kofe
 cold sovuq
 computer_game kompyuter_oyini
 damp nam
 dream orzu
 early erta
 equal teng
 exercise mashq_qilish
 family oila
 film film
 fun qiziqarli
 golf golf
 gym sportzal
 homework Uy_ishi
 hot issiq
 housework uy_ishlari
 humid nam
 indoors bino_ichida
 karate karate
 lie_in kechgacha_yotish
 light yoruglik
 lightning chaqmoq
 look qarang
 make_a_list royxat_tuzing
 make_plans rejalar_tuzing
 meal ovqat
 They ular
 What nima
 Who kim
 Where qayerga_qayerda
 How qanday
 Why nega
 When qachon
 My mening
 Your sening
 His uning
 Her uning
 Its uning
 Our bizning
 Their ularning
 Cat mushuk
 Dog kuchuk
 Bird qush
 Squirrel olmaxon
 Wolf bori
 Goose goz
 Giraffe jirafa
 Rabbit quyon
 Cow sigir
 Rat kalamush
 Fox tulki
 Horse ot
 Frog qurbaqa
 Bear ayiq
 Mouse sichqon
 Monkey maymun
 Pig chochqa
 Elephant fil
 Duck ordak
 Bread non
 Butter saryog
 Oil yog
 Cheese pishloq
 Sausage kolbasa
 Ham vetchina(chochqa_goshti)
 Meat gosht
 Beef mol_goshti
 Lamb qoy_goshti
 Chicken joja
 Cutlet kotlet
 Fish baliq
 Egg tuxum
 Salad salad
 Mushroom qoziqorin
 Corn don
 Porridge botqa
 Soup shorva
 Sandwich sendvich
 Rice guruch
 Noodles lapsha
 Flour un
 Spice dorivor
 Pepper qalampir
 Salt tuz
 Onion piyoz
 Garlic sarimsoq
 Sauce sous
 Vegetables sabzavotlar
 Potatoes kartoshka
 Carrot sabzi
 Beet lavlagi
 Tomato pamidor
 Cucumber bodring
 Cabbage karam
 Eggplant baqlajon
 Nut yongoq
 Fruit meva
 Apple olma
 Pear nok
 Banana banan
 Berry mayda_mevalar
 Strawberry qulupnay
 Raspberry malina
 Cherry olcha
 Plum olxori
 Grape uzum
 Apricot orik
 Peach shaftoli
 Melon qovun
 Watermelon tarvuz
 Pumpkin oshqovoq
 Orange apelsin
 Mandarin mandarin
 Lemon Limon
 Pineapple ananas
 Sugar shakar
 Honey asal
 Cake tort
 Bun bulochka
 Cookie pechenye
 Pie pirog
 Sweet shirinlik
 Ice_cream muzqaymoq
 Chocolate shokolad
 Water suv
 Soda gazli_suv
 Juice sharbat
 Wine vino
 Tea choy
 Coffee kofe
 Milk sut
 Cream. krem
 Yogurt yogurt
 Curd tvorog
 Hi salom
 Hello salom
 Sorry uzur
 Please iltimos
 Man erkak
 Woman ayol
 Child bola
 Boy bola
 Girl qiz_bola
 Guy kishi
 Friend dost
 Acquaintance tanish
 Neighbor qoshni
 Guest taxmin
 Chief boshliq
 Boss xojayin
 Competitor raqobatchi
 Client mijoz
 Colleague hamkasb
 Family oila
 People odamlar
 Parents ota_ona
 Father ota
 Mother ona
 Husband er
 Wife Xotin
 Son ogil_bola
 Daughter qiz
 Brother aka
 Sister opa
 Grandfather bobo
 Grandmother buvi
 Father_in_law qaynota
 Uncle amaki
 Aunt xola
 Cousin amakivachcha
 Nephew ogil_bola_jiyan
 Niece qiz_bola_jiyan
 Job ish
 Businessman tadbirkor
 Driver haydovchi
 Worker ishchi
 Engineer injener
 Doctor doktor
 Lawyer advokat
 Journalist jurnalist
 Nurse hamshira
 Shop_assistant sotuvchi
 Accountant buxgalter
 Artist rassom
 Musician musiqachi
 Actor aktyor
 Student Student
 Pupil oquvchi
 City shahar
 House uy
 Home uy
 Building bino
 Place joy
 Entrance kirish
 Exit chiqish
 Center markaz
 Yard hovli
 Roof tom
 Fence panjara
 Land yer
 Village qishloq
 School maktab
 University universitet
 Theater teatr
 Church cherkov
 Restaurant restoran
 Cafe qahvaxona
 Hotel mehmonxona
 Bank bank
 Cinema kino
 Hospital kasalxona
 Post pochta
 Station vokzal
 Airport ayeroport
 Shop dokon
 Pharmacy dorixona
 Market bozor
 Office ofis
 Company kompaniya
 Factory fabrika
 Square xiyobon
 Street kocha
 Stop toxtatmoq
 Sidewalk tratuar
 Garden bog
 Park park
 Bridge koprik
 River daryo
 Forest ormon
 Field dala
 Mountain tog
 Lake kol
 Sea dengiz
 Ocean okean
 Coast sohil
 Beach sohil
 Sand qum
 Border chegara
 Customs tamojnya
 Garbage axlat
 Waste qoldiq
 Stone tosh
 Agree rozi_bolmoq
 Allow ruhsat_bermoq
 Be bolmoq
 Become aylanmoq
 Begin boshlanmoq
 Break sindirmoq
 Bring keltirmoq
 Buy sotib_olmoq
 Call chaqirish
 Can qoldan_kelmoq
 Change ozgartirmoq
 Close yopmoq
 Come kelmoq
 Cook pishirmoq
 Cut kesmoq
 Do qilmoq
 Fall tushmoq
 Find topmoq
 Fly uchmoq
 Follow ergashmoq
 Get olmoq
 Have ega_bolmoq
 Hold ushlamoq
 Know bilmoq
 Leave qoldirib_ketmoq
 Make qilmoq
 May may
 Mean mano_bildirmoq
 Need kerak
 Open ochiq
 Play oynamoq
 Pay tolamoq
 Sell sotmoq
 Send jonatmoq
 Sit otirmoq
 Speak gapirmoq
 Stand turmoq
 Start boshlash
 Talk gapirmoq
 Tell aytib_bermoq
 Travel sayohat
 Try urinmoq
 Understand tushunmoq
 Use foydalanmoq
 Wait kutmoq
 Watch tomosha_qilmoq
 Win yutmoq
 Work ishlamoq
 Worry havotir_olmoq
 Answer javob_bermoq
 Ask soramoq
 Believe ishonmoq
 Borrow qarz_olmoq
 Carry tashib_yurmoq
 Copy kochirmoq
 Decide qaror_qilmoq
 Discuss muhokama
 Est yemoq
 Explain tushuntirish
 Feel his_qilmoq
 Fill toldirmoq
 Finish tugatish
 Forget esdan_chiqarmoq
 Give bermoq
 Go ketmoq
 Happen sodir_bolmoq
 Hear eshitmoq
 Help yordam
 Keep saqlamoq
 Learn organmoq
 Like yoqtirmoq
 Listen tinglamoq
 Live yashamoq
 Look qaramoq
 Meet uchratmoq
 Move harakat
 Must kerak
 Promise vada_bermoq
 Put qoymoq
 Read oqimoq
 Remember eslatmoq
 Run yugurmoq
 Say aytmoq
 See kormoq
 Should kerak
 Show korsatmoq
 Sleep uxlamoq
 Spend sarflash
 Study organmoq
 Suggest soramoq
 Take olmoq
 Think oylamoq
 Turn burimoq
 Wake up_uygonmoq
 Walk piyoda_yurmoq
 Awake uygoq
 Bad yomon
 Bent bukilgan
 Bitter achchiq
 Blue kok
 Cold sovuq
 Cruel zolim
 Dark qorongu
 Dead olgan
 Dear aziz
 Different farq
 Dirty kir
 False notogri
 Feeble zaif
 Foolish ahmoq
 Future kelajak
 Green yashil
 Ill kasal
 Last oxirgi
 Left chap
 Loose erkin
 Loud baland
 Low past
 Mixed aralash
 Narrow tor
 Old eski
 Opposite qarama-qarshi
 Rough qopol
 Sad gamgin
 Safe havfsiz
 Secret sirli
 Short kalta
 Simple oddiy
 Slow sekin
 Small kichik
 Soft yumshoq
 Solid qattiq
 Special maxsus
 Strange notanish
 Thin ozgin
 White oq
 Wrong xato
 Time vaqt
 Second ikkinchi
 Minute minut
 Hour soat
 Day kun
 Month oy
 Year yil
 Yesterday kecha
 The_day_before_yesterday kechadan_oldingi_kun
 Today bugun
 Tonight bugun_tunda
 Tomorrow ertaga
 The_day_after_tomorrow ertadan_keyin
 Morning tong
 Afternoon tushlik
 Evening kechqurun
 Night tun
 Monday dushanba
 Tuesday seshanba
 Wednesday chorshanba
 Thursday payshanba
 Friday juma
 Saturday shanba
 Sunday yakshanba
 January yanvar
 February fevral
 March mart
 April aprel
 June iyun
 July iyul
 August avgust
 September Sentyabr
 October oktyabr
 November noyabr
 December dekabr
 Season fasl
 Spring bahor
 Summer yoz
 Autumn kuz
 Winter qish
 Holiday kanikul
 Birthday tugilgan_kun
 Thank_you rahmat
 You_are_welcome arzimaydi
 What_a_pity afsus
 Good_bye hayr
 Great_Britain Buyuk_Britaniya
 England Angliya
 Plant osimlik
 Tree house
 Grass ot
 Flower gul
 Leaf barg
 Flat kvartira
 Room xona
 Living_room Mehmonxona
 Bedroom yotoqxona
 Shower dush
 Toilet xojatxona
 Bathroom vannaxona
 Kitchen oshxona
 Hall zal
 Balcony balkon
 Floor Pol
 Ceiling shift
 Wall devor
 Stairs zina
 Door eshik
 Window oyna
 Windowsill dokcha
 Curtain parda
 Switch vikluchatel
 Socket rozetka
 Faucet jomrak
 Pipe truba
 Chimney mori
 Furniture mebel
 Table stol
 Chair stul
 Armchair kreslo
 Sofa divan
 Bed karavot
 Wardrobe garderob
 Cabinet kabinet
 Shelf raf
 Mirror deraza
 Carpet gilam
 Fridge muzlatgich
 Microwave mikrotolqinli
 Oven pechka
 Stove pechka
 Dish idish
 Cup piyola
 Glass kozoynak
 Mug krujka
 Plate tarelka
 Spoon qoshiq
 Fork vilka
 Knife pichoq
 Saucer likopcha
 Bottle butilka
 Napkin salfetka
 Frying skavarodka
 Pan tova
 Kettle choynak
 Meal ovqat
 Breakfast nonushta
 Lunch tushlik
 Dinner kechki_ovqat
 Transport transport
 Plane samolyot
 Car mashina
 Tram tramvay
 Bus avtobus
 Train poyezd
 Ship korabl
 Bicycle velosiped
 Form sinf
 Name ism
 First_name ism
 Surname familiya
 Maiden_name qizlik_familiyasi
 Birth_date tugilgan_sana
 Place_of_birth tugilgan_shahar
 Address manzil
 Married turmush_qurgan
 Divorced ajrashgan
 Widowed beva
 Thing narsa
 Pen ruchka
 Pensil qalam
 Book kitob
 Copybook daftar
 Note qayd_yozuv
 Letter xat
 Envelope konvert
 Paper qogoz
 Newspaper gazeta
 Magazine jurnal
 Telephone telefon
 Clock soat
 Comb taroq
 Tv televizor
 Iron dazmol
 Soap sovun
 Radio radio
 Bag sumka
 Backpack ryukzak
 Map xarita
 Card karta
 Suitcase chemadon
 Present sovga
 Camera kamera
 Vase guldon
 Handkerchief romolcha
 Ball koptok
 Ballon shar
 Toy oyinchoq
 Ticket chipta
 Luggage bagaj
 Battery batareya
 Bucket chelak
 Rope arqon
 Board doska
 Calendar taqvim
 Laptop noutbuk
 Brush chotka
 Key kalit
 Keyboard klaviatura
 Wheel gildirak
 Steering_wheel rul
 Trunk chemadon
 Gasoline benzin
 Purse hamyon
 Wallet hamyon
 Lamp lampa
 Ruler chizgich
 Shovel belkurak
 Machine mashina
 Hammer bolga
 Scissors qaychi
 Package posilka_tugun
 Stick tayoq
 Glue yelim
 Gift sovga
 Towel sochiq
 Mail pochta
 Wire sim
 Page sahifa
 Torch fonar
 Box quti
 Blanket adyol
 Sheet choyshab
 Pillow yostiq
 Clothes kiyim
 Shoes tufli
 Boot etik
 Sneakers_sport oyoq_kiyimi
 Coat palto
 Dress koylak
 Suit kostyum
 Shirt koylak
 Blouse bluzka
 Glove qolqop
 Mitten boshmaldoqli_qolqop
 Skirt yubka
 Hat shlyapa
 Cap kepka
 Jacket pidjak
 Cardigan kardigan
 Scarf sharf
 Sock paypoq
 Sweater sviter
 T-shirt futbolka
 Tie galstuk
 Trouser shim
 Shorts shortilar
 Tights triko
 Stockings paypoq
 Jeans jinsilar
 Belt tasma
 Hood kapushyon
 Underwear ich_kiyim
 Body tana
 Head bosh
 Face yuz
 Forehead peshona
 Nose burun
 Ear quloq
 Mouth ogiz
 Throat tomog
 Eye koz
 Eyebrow qosh
 Lips lablar
 Tooth tish
 Hair soch
 Mustache moylov
 Cheek yuz
 Chin iyak
 Neck boyin
 Shoulder yelka
 Chest kokrak
 Heart yurak
 Stomach qorin
 Back bel
 Wrist bilak
 Hand qol
 Finger barmoq
 Nail tirnoq
 Elbow tirsak
 Leg oyoq
 Knee tizza
 Foot oyoq
 Heel tovon
 Toe oyoq_barmogi
 Beard soqol
 Bone suyak
 Health soglik
 Healthy soglom
 Sick kasal
 Sickness kasallik
 Fever istima
 Caugh yotal
 Running_nose burundan_suv_kelishi
 Sneeze aks_urish
 Pain ogriq
 Flu grip
 Event voqea
 Birth tugulish
 Game oyin
 Lesson dars
 Vacation kanikul
 Party ziyofat
 Meeting yigilish
 Wedding toy
 Negotiation muhokama
 Trip sayohat
 Death olim
 Weather ob_havo
 Sun quyosh
 Moon oy
 Wind shamol
 Fog tuman
 Rain yomgir
 Snow qor
 Sky osmon
 Cloud bulut
 Air havo
 Temperature harorat
 Degree daraja
 Art sanat
 Music musiqa
 Song qoshiq
 Literature adabiyot
 Story ertak
 Movie kino
 Film film
 Sculpture haykaltaroshlik
 Picture rasm
 Advertising reklama
 Purchase harid_qilish
 Size razmer
 Prise narx
 Money pul
 Cash naqd_pul
 Discount chegirma
 Account hisob
 Bill hisob_varogi
 Tip choychaqa
 Measure masofa
 Distance masofa
 Length uzunlik
 Height boy
 Depth chuqurlik
 Strength kuch
 Speed tezlik
 Kilometr Kilometr
 Kilogramm Kilogramm
 Pound funt
 Feeling hissiyot
 Fun oyin_kulgu
 Joy hursandchilik
 Fear qorquv
 Sadness gamgin
 Passion ehtiros
 Happiness baxt
 Peace tinch
 Love sevgi
 Hate nafratlanish
 World dunyo
 Soul qalb
 Life hayot
 Knowledge bilim
 Task topshiriq
 Exercise mashq
 Luck omad
 Problem muammo
 Opportunity imkoniyat
 Ability qobiliyat
 Beauty chiroy
 Denger xavf
 Experience tajriba
 Memory hotira
 Benefit foyda
 Advantage manfaat
 Profit foyda
 Habit odat
 Reason sabab
 Consequence oqibat
 Meaning mano
 Means usul
 Effort say_harakat
 Success muvaffaqiyat
 Goal maqsad
 Miracle mojiza
 Science fan
 Language til
 Word soz
 Fire olov
 Case holat
 Circumstances vaziyat
 Thought hayol
 Choise tanlov
 Permit ruhsat
 Delivery yetkazib_berish
 Achievement muvaffaqiyat
 Duty burch
 Delay kechikish
 Relationship munosabat
 Mark belgi
 Mistake xato
 Behavior hulq
 Invitation taklifnoma
 Development rivojlantirish
 Decision qaror
 Solution yechim
 Advice maslahat
 Agreement rozilik
 List royxat
 Argument bahs
 Test tekshirish
 Step qadam
 Piece parcha
 Area hudud
 Pair juft
 Couple juftlik
 Mess tartibsizlik
 Surface yuza
 Question savol
 From ...dan
 Of ...ning
 To ...ga
 In ...da
 On ...da
 Under tagida
 Behind orqasida
 With bilan
 Without ...siz
 In_front_of old_tarafda
 Before oldin
 After keyin
 Between ortasiga
 Near yaqinida
 For uchun
 Since dan_buyon
 During davomida
 Around atrofida
 Because chunki
 About haqida
 Against qarshi
 Among ichida
 Through orqali
 Per ga(soatiga_100_km)
 Above tepasida
 Below pastida
 Colour rang
 Black qora
 Brown jigarrang
 Grey kulrang
 Red qizil
 Yellow sariq
 Pink pushti
 Purple siyohrang
 Better yaxshiroq
 Best zor
 Worse yomonroq
 Worst eng_yomon
 More koproq
 Most eng_kop
 Less kamroq
 Least eng_kam
 Sometimes bazan
 Never hech_qachon
 Seldom kamdan_kam
 Usually odatda
 Often tez_tez
 Always har_doim
 Soon tez_orada
 Recently yaqinda
 Well yaxshi
 Far uzoq
 Exactly aniq
 Probably balki
 Maybe balki
 Perhaps balki
 Really haqiqatdan
 Of_course albatta
 Certainly albatta
 Obviously ochiq_oydin
 Especially ayniqsa
 This bu
 That anavi
 These bular
 Those anavilar
 together birga
 forward oldinga
 even hatto
 enough yetarli
 also ham
 too ham
 only faqat
 or yoki
 but lekin
 however har_qanday_holatda
 if agar
 although ...ga_qaramay
 be_afraid_of qorqmoq
 be_interested_in qiziqmoq
 be_surprised hayron_bolmoq
 have_to togri_kelyapti
 get_up orindan_turish
 put_on kiymoq
 take_off yechmoq
 keen otkir
 abandon tark_etmoq
 jealous rashkchi_hasadgoy
 tack andisha
 oath qasam
 vacant bosh
 hardship qiyinchilik
 gallant jasur_muloyim
 data malumotlar
 many kop
 much kop
 few kam
 little kam
 some bir_qancha
 any har_qanday
 somebody kimdir
 something nimadir
 anybody har_kim
 anything har_nima
 nobody hech_kim
 nothing hech_nima
 here bu_yerda
 there u_yerda
 now hozir
 again yana
 then keyin
 just hozirgina
 still hali_ham
 yet hali
 almost deyarli
 very juda
 every har_bir
 each har_qaysi
 all hamma
 suchÂ bunday
 up tepa
 down past
 American amerikalik
 Arabic arabcha
 artist rassom
 aunt xola
 boss xojayin
 British Britaniya
 brother aka_uka
 brother_in_law Kuyov_pochcha
 business_management Biznes_boshqaruvi
 car_mechanic Avtomobil_mexanik
 child bola
